Battery ,Bandwidth ,CPU_load% ,Memory% ,Datasize ,Cloud_load ,VMs
     12 ,       18 ,    54.31 ,  18.96 ,       4 ,     50.91 , 35
     12 ,       18 ,    61.70 ,  18.86 ,       4 ,     81.82 , 14
    100 ,       18 ,    18.29 ,  16.89 ,       4 ,     75.27 , 41
    100 ,       18 ,    43.59 ,  18.76 ,       4 ,     59.14 , 12
     99 ,       18 ,     6.78 ,  18.65 ,       4 ,     45.16 , 36
     99 ,       18 ,    10    ,  18.86 ,       4 ,     42.72 ,  2
     97 ,       18 ,    15.87 ,  18.86 ,       4 ,     10.34 , 19
     97 ,       18 ,    16.67 ,  18.65 ,       4 ,     35.34 , 40
     89 ,       18 ,    13.21 ,  18.65 ,       4 ,     49.15 , 36
     89 ,       18 ,    13.79 ,  18.44 ,       4 ,     14.04 , 37
     89 ,       18 ,    24.19 ,  18.54 ,       4 ,     11.86 , 48
     53 ,       18 ,    18.18 ,  18.65 ,       4 ,     18.18 , 10
     53 ,       18 ,     5.56 ,  18.03 ,       4 ,     70.97 , 33
     23 ,       18 ,    25    ,  14.61 ,       4 ,     18.18 , 13
     99 ,       18 ,    13.11 ,  14.61 ,       4 ,     51.61 , 46
     99 ,       54 ,    10    ,  14.51 ,       4 ,     13.56 , 48
     99 ,       72 ,    21.82 ,  14.06 ,       4 ,     52.63 , 49
     97 ,       18 ,    13.79 ,  16.06 ,       4 ,      7.69 , 19
     97 ,       18 ,    12.90 ,  15.75 ,       4 ,     16.98 ,  5
     89 ,       54 ,    31.08 ,  20.83 ,       4 ,     52.31 , 37
     89 ,       54 ,    25.45 ,  21.45 ,       4 ,     16.67 , 21
     89 ,       54 ,    29.51 ,  23.42 ,       4 ,      5.56 , 23
     53 ,       54 ,    25.29 ,  23.01 ,       4 ,     17.46 , 33